id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,luas_panen,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,334,HEKTAR,2013
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,827,HEKTAR,2013
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2430,HEKTAR,2013
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1320,HEKTAR,2013
5,32,JAWA BARAT,3205,KABUPATEN GARUT,5085,HEKTAR,2013
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,479,HEKTAR,2013
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,245,HEKTAR,2013
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,150,HEKTAR,2013
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,1,HEKTAR,2013
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,345,HEKTAR,2013
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,260,HEKTAR,2013
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,51,HEKTAR,2013
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,231,HEKTAR,2013
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,236,HEKTAR,2013
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,HEKTAR,2013
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,HEKTAR,2013
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,605,HEKTAR,2013
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,HEKTAR,2013
19,32,JAWA BARAT,3271,KOTA BOGOR,16,HEKTAR,2013
20,32,JAWA BARAT,3272,KOTA SUKABUMI,14,HEKTAR,2013
21,32,JAWA BARAT,3273,KOTA BANDUNG,23,HEKTAR,2013
22,32,JAWA BARAT,3274,KOTA CIREBON,0,HEKTAR,2013
23,32,JAWA BARAT,3275,KOTA BEKASI,1,HEKTAR,2013
24,32,JAWA BARAT,3276,KOTA DEPOK,0,HEKTAR,2013
25,32,JAWA BARAT,3277,KOTA CIMAHI,14,HEKTAR,2013
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,6,HEKTAR,2013
27,32,JAWA BARAT,3279,KOTA BANJAR,6,HEKTAR,2013
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,342,HEKTAR,2014
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,848,HEKTAR,2014
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1527,HEKTAR,2014
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1235,HEKTAR,2014
32,32,JAWA BARAT,3205,KABUPATEN GARUT,4259,HEKTAR,2014
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,605,HEKTAR,2014
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,211,HEKTAR,2014
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,191,HEKTAR,2014
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,1,HEKTAR,2014
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,197,HEKTAR,2014
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,301,HEKTAR,2014
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,44,HEKTAR,2014
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,283,HEKTAR,2014
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,162,HEKTAR,2014
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3,HEKTAR,2014
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,HEKTAR,2014
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,565,HEKTAR,2014
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,21,HEKTAR,2014
46,32,JAWA BARAT,3271,KOTA BOGOR,15,HEKTAR,2014
47,32,JAWA BARAT,3272,KOTA SUKABUMI,15,HEKTAR,2014
48,32,JAWA BARAT,3273,KOTA BANDUNG,1,HEKTAR,2014
49,32,JAWA BARAT,3274,KOTA CIREBON,0,HEKTAR,2014
50,32,JAWA BARAT,3275,KOTA BEKASI,0,HEKTAR,2014
51,32,JAWA BARAT,3276,KOTA DEPOK,0,HEKTAR,2014
52,32,JAWA BARAT,3277,KOTA CIMAHI,25,HEKTAR,2014
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8,HEKTAR,2014
54,32,JAWA BARAT,3279,KOTA BANJAR,16,HEKTAR,2014
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,262,HEKTAR,2015
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,752,HEKTAR,2015
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1202,HEKTAR,2015
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1356,HEKTAR,2015
59,32,JAWA BARAT,3205,KABUPATEN GARUT,4146,HEKTAR,2015
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,579,HEKTAR,2015
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,146,HEKTAR,2015
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,334,HEKTAR,2015
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,HEKTAR,2015
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,149,HEKTAR,2015
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,262,HEKTAR,2015
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,70,HEKTAR,2015
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,292,HEKTAR,2015
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,156,HEKTAR,2015
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1,HEKTAR,2015
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,HEKTAR,2015
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,329,HEKTAR,2015
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,9,HEKTAR,2015
73,32,JAWA BARAT,3271,KOTA BOGOR,32,HEKTAR,2015
74,32,JAWA BARAT,3272,KOTA SUKABUMI,1,HEKTAR,2015
75,32,JAWA BARAT,3273,KOTA BANDUNG,2,HEKTAR,2015
76,32,JAWA BARAT,3274,KOTA CIREBON,0,HEKTAR,2015
77,32,JAWA BARAT,3275,KOTA BEKASI,0,HEKTAR,2015
78,32,JAWA BARAT,3276,KOTA DEPOK,0,HEKTAR,2015
79,32,JAWA BARAT,3277,KOTA CIMAHI,6,HEKTAR,2015
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8,HEKTAR,2015
81,32,JAWA BARAT,3279,KOTA BANJAR,6,HEKTAR,2015
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,259,HEKTAR,2016
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,733,HEKTAR,2016
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1009,HEKTAR,2016
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,990,HEKTAR,2016
86,32,JAWA BARAT,3205,KABUPATEN GARUT,4392,HEKTAR,2016
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1153,HEKTAR,2016
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,129,HEKTAR,2016
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,140,HEKTAR,2016
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,HEKTAR,2016
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,185,HEKTAR,2016
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,241,HEKTAR,2016
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,46,HEKTAR,2016
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,381,HEKTAR,2016
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,100,HEKTAR,2016
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,HEKTAR,2016
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,HEKTAR,2016
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,321,HEKTAR,2016
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,3,HEKTAR,2016
100,32,JAWA BARAT,3271,KOTA BOGOR,35,HEKTAR,2016
101,32,JAWA BARAT,3272,KOTA SUKABUMI,6,HEKTAR,2016
102,32,JAWA BARAT,3273,KOTA BANDUNG,2,HEKTAR,2016
103,32,JAWA BARAT,3274,KOTA CIREBON,1,HEKTAR,2016
104,32,JAWA BARAT,3275,KOTA BEKASI,5,HEKTAR,2016
105,32,JAWA BARAT,3276,KOTA DEPOK,0,HEKTAR,2016
106,32,JAWA BARAT,3277,KOTA CIMAHI,0,HEKTAR,2016
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11,HEKTAR,2016
108,32,JAWA BARAT,3279,KOTA BANJAR,13,HEKTAR,2016
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,272,HEKTAR,2017
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,663,HEKTAR,2017
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,855,HEKTAR,2017
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1279,HEKTAR,2017
113,32,JAWA BARAT,3205,KABUPATEN GARUT,5056,HEKTAR,2017
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,448,HEKTAR,2017
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,98,HEKTAR,2017
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,152,HEKTAR,2017
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,2,HEKTAR,2017
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,134,HEKTAR,2017
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,211,HEKTAR,2017
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,54,HEKTAR,2017
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,349,HEKTAR,2017
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,106,HEKTAR,2017
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,HEKTAR,2017
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,HEKTAR,2017
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,435,HEKTAR,2017
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,4,HEKTAR,2017
127,32,JAWA BARAT,3271,KOTA BOGOR,30,HEKTAR,2017
128,32,JAWA BARAT,3272,KOTA SUKABUMI,4,HEKTAR,2017
129,32,JAWA BARAT,3273,KOTA BANDUNG,1,HEKTAR,2017
130,32,JAWA BARAT,3274,KOTA CIREBON,0,HEKTAR,2017
131,32,JAWA BARAT,3275,KOTA BEKASI,0,HEKTAR,2017
132,32,JAWA BARAT,3276,KOTA DEPOK,0,HEKTAR,2017
133,32,JAWA BARAT,3277,KOTA CIMAHI,3,HEKTAR,2017
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,HEKTAR,2017
135,32,JAWA BARAT,3279,KOTA BANJAR,15,HEKTAR,2017
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,265,HEKTAR,2018
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,770,HEKTAR,2018
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1044,HEKTAR,2018
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1154,HEKTAR,2018
140,32,JAWA BARAT,3205,KABUPATEN GARUT,4185,HEKTAR,2018
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,400,HEKTAR,2018
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,87,HEKTAR,2018
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,109,HEKTAR,2018
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,HEKTAR,2018
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,136,HEKTAR,2018
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,215,HEKTAR,2018
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,95,HEKTAR,2018
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,298,HEKTAR,2018
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,106,HEKTAR,2018
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2,HEKTAR,2018
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,HEKTAR,2018
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,370,HEKTAR,2018
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,7,HEKTAR,2018
154,32,JAWA BARAT,3271,KOTA BOGOR,32,HEKTAR,2018
155,32,JAWA BARAT,3272,KOTA SUKABUMI,11,HEKTAR,2018
156,32,JAWA BARAT,3273,KOTA BANDUNG,1,HEKTAR,2018
157,32,JAWA BARAT,3274,KOTA CIREBON,0,HEKTAR,2018
158,32,JAWA BARAT,3275,KOTA BEKASI,0,HEKTAR,2018
159,32,JAWA BARAT,3276,KOTA DEPOK,0,HEKTAR,2018
160,32,JAWA BARAT,3277,KOTA CIMAHI,0,HEKTAR,2018
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3,HEKTAR,2018
162,32,JAWA BARAT,3279,KOTA BANJAR,31,HEKTAR,2018
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,306,HEKTAR,2019
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,681,HEKTAR,2019
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1235,HEKTAR,2019
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1432,HEKTAR,2019
167,32,JAWA BARAT,3205,KABUPATEN GARUT,4094,HEKTAR,2019
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,380,HEKTAR,2019
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,109,HEKTAR,2019
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,71,HEKTAR,2019
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,HEKTAR,2019
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,135,HEKTAR,2019
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,238,HEKTAR,2019
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,56,HEKTAR,2019
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,274,HEKTAR,2019
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,114,HEKTAR,2019
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,HEKTAR,2019
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,HEKTAR,2019
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,414,HEKTAR,2019
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,8,HEKTAR,2019
181,32,JAWA BARAT,3271,KOTA BOGOR,11,HEKTAR,2019
182,32,JAWA BARAT,3272,KOTA SUKABUMI,12,HEKTAR,2019
183,32,JAWA BARAT,3273,KOTA BANDUNG,0,HEKTAR,2019
184,32,JAWA BARAT,3274,KOTA CIREBON,0,HEKTAR,2019
185,32,JAWA BARAT,3275,KOTA BEKASI,0,HEKTAR,2019
186,32,JAWA BARAT,3276,KOTA DEPOK,0,HEKTAR,2019
187,32,JAWA BARAT,3277,KOTA CIMAHI,0,HEKTAR,2019
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4,HEKTAR,2019
189,32,JAWA BARAT,3279,KOTA BANJAR,18,HEKTAR,2019
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,374,HEKTAR,2020
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,742,HEKTAR,2020
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1082,HEKTAR,2020
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1814,HEKTAR,2020
194,32,JAWA BARAT,3205,KABUPATEN GARUT,3526,HEKTAR,2020
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,471,HEKTAR,2020
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,81,HEKTAR,2020
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,159,HEKTAR,2020
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,HEKTAR,2020
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,164,HEKTAR,2020
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,280,HEKTAR,2020
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,44,HEKTAR,2020
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,257,HEKTAR,2020
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,115,HEKTAR,2020
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,HEKTAR,2020
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,HEKTAR,2020
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,584,HEKTAR,2020
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,7,HEKTAR,2020
208,32,JAWA BARAT,3271,KOTA BOGOR,9,HEKTAR,2020
209,32,JAWA BARAT,3272,KOTA SUKABUMI,11,HEKTAR,2020
210,32,JAWA BARAT,3273,KOTA BANDUNG,0,HEKTAR,2020
211,32,JAWA BARAT,3274,KOTA CIREBON,0,HEKTAR,2020
212,32,JAWA BARAT,3275,KOTA BEKASI,0,HEKTAR,2020
213,32,JAWA BARAT,3276,KOTA DEPOK,0,HEKTAR,2020
214,32,JAWA BARAT,3277,KOTA CIMAHI,0,HEKTAR,2020
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,6,HEKTAR,2020
216,32,JAWA BARAT,3279,KOTA BANJAR,32,HEKTAR,2020
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,326,HEKTAR,2021
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,797,HEKTAR,2021
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1313,HEKTAR,2021
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2131,HEKTAR,2021
221,32,JAWA BARAT,3205,KABUPATEN GARUT,3549,HEKTAR,2021
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,360,HEKTAR,2021
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,120,HEKTAR,2021
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,34,HEKTAR,2021
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,HEKTAR,2021
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,221,HEKTAR,2021
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,263,HEKTAR,2021
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,69,HEKTAR,2021
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,259,HEKTAR,2021
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,88,HEKTAR,2021
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,HEKTAR,2021
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,1,HEKTAR,2021
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,393,HEKTAR,2021
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2,HEKTAR,2021
235,32,JAWA BARAT,3271,KOTA BOGOR,11,HEKTAR,2021
236,32,JAWA BARAT,3272,KOTA SUKABUMI,6,HEKTAR,2021
237,32,JAWA BARAT,3273,KOTA BANDUNG,0,HEKTAR,2021
238,32,JAWA BARAT,3274,KOTA CIREBON,0,HEKTAR,2021
239,32,JAWA BARAT,3275,KOTA BEKASI,0,HEKTAR,2021
240,32,JAWA BARAT,3276,KOTA DEPOK,0,HEKTAR,2021
241,32,JAWA BARAT,3277,KOTA CIMAHI,0,HEKTAR,2021
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4,HEKTAR,2021
243,32,JAWA BARAT,3279,KOTA BANJAR,31,HEKTAR,2021
244,32,JAWA BARAT,3201,KABUPATEN BOGOR,376,HEKTAR,2022
245,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1044,HEKTAR,2022
246,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1281,HEKTAR,2022
247,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1593,HEKTAR,2022
248,32,JAWA BARAT,3205,KABUPATEN GARUT,3761,HEKTAR,2022
249,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,292,HEKTAR,2022
250,32,JAWA BARAT,3207,KABUPATEN CIAMIS,91,HEKTAR,2022
251,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,63,HEKTAR,2022
252,32,JAWA BARAT,3209,KABUPATEN CIREBON,5,HEKTAR,2022
253,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,89,HEKTAR,2022
254,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,368,HEKTAR,2022
255,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,69,HEKTAR,2022
256,32,JAWA BARAT,3213,KABUPATEN SUBANG,174,HEKTAR,2022
257,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,101,HEKTAR,2022
258,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,HEKTAR,2022
259,32,JAWA BARAT,3216,KABUPATEN BEKASI,7,HEKTAR,2022
260,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,290,HEKTAR,2022
261,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,5,HEKTAR,2022
262,32,JAWA BARAT,3271,KOTA BOGOR,18,HEKTAR,2022
263,32,JAWA BARAT,3272,KOTA SUKABUMI,0,HEKTAR,2022
264,32,JAWA BARAT,3273,KOTA BANDUNG,3,HEKTAR,2022
265,32,JAWA BARAT,3274,KOTA CIREBON,0,HEKTAR,2022
266,32,JAWA BARAT,3275,KOTA BEKASI,0,HEKTAR,2022
267,32,JAWA BARAT,3276,KOTA DEPOK,0,HEKTAR,2022
268,32,JAWA BARAT,3277,KOTA CIMAHI,0,HEKTAR,2022
269,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2,HEKTAR,2022
270,32,JAWA BARAT,3279,KOTA BANJAR,40,HEKTAR,2022
271,32,JAWA BARAT,3201,KABUPATEN BOGOR,348,HEKTAR,2023
272,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,885,HEKTAR,2023
273,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1259,HEKTAR,2023
274,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1700,HEKTAR,2023
275,32,JAWA BARAT,3205,KABUPATEN GARUT,3689,HEKTAR,2023
276,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,272,HEKTAR,2023
277,32,JAWA BARAT,3207,KABUPATEN CIAMIS,109,HEKTAR,2023
278,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,54,HEKTAR,2023
279,32,JAWA BARAT,3209,KABUPATEN CIREBON,1,HEKTAR,2023
280,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,125,HEKTAR,2023
281,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,396,HEKTAR,2023
282,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,66,HEKTAR,2023
283,32,JAWA BARAT,3213,KABUPATEN SUBANG,151,HEKTAR,2023
284,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,91,HEKTAR,2023
285,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1,HEKTAR,2023
286,32,JAWA BARAT,3216,KABUPATEN BEKASI,6,HEKTAR,2023
287,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,343,HEKTAR,2023
288,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,9,HEKTAR,2023
289,32,JAWA BARAT,3271,KOTA BOGOR,19,HEKTAR,2023
290,32,JAWA BARAT,3272,KOTA SUKABUMI,8,HEKTAR,2023
291,32,JAWA BARAT,3273,KOTA BANDUNG,9,HEKTAR,2023
292,32,JAWA BARAT,3274,KOTA CIREBON,1,HEKTAR,2023
293,32,JAWA BARAT,3275,KOTA BEKASI,0,HEKTAR,2023
294,32,JAWA BARAT,3276,KOTA DEPOK,0,HEKTAR,2023
295,32,JAWA BARAT,3277,KOTA CIMAHI,0,HEKTAR,2023
296,32,JAWA BARAT,3278,KOTA TASIKMALAYA,6,HEKTAR,2023
297,32,JAWA BARAT,3279,KOTA BANJAR,41,HEKTAR,2023
298,32,JAWA BARAT,3201,KABUPATEN BOGOR,327,HEKTAR,2024
299,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,870,HEKTAR,2024
300,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1311,HEKTAR,2024
301,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2174,HEKTAR,2024
302,32,JAWA BARAT,3205,KABUPATEN GARUT,3265,HEKTAR,2024
303,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,277,HEKTAR,2024
304,32,JAWA BARAT,3207,KABUPATEN CIAMIS,84,HEKTAR,2024
305,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,41,HEKTAR,2024
306,32,JAWA BARAT,3209,KABUPATEN CIREBON,1,HEKTAR,2024
307,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,249,HEKTAR,2024
308,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,440,HEKTAR,2024
309,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,88,HEKTAR,2024
310,32,JAWA BARAT,3213,KABUPATEN SUBANG,160,HEKTAR,2024
311,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,93,HEKTAR,2024
312,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,HEKTAR,2024
313,32,JAWA BARAT,3216,KABUPATEN BEKASI,2,HEKTAR,2024
314,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,280,HEKTAR,2024
315,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,29,HEKTAR,2024
316,32,JAWA BARAT,3271,KOTA BOGOR,5,HEKTAR,2024
317,32,JAWA BARAT,3272,KOTA SUKABUMI,9,HEKTAR,2024
318,32,JAWA BARAT,3273,KOTA BANDUNG,13,HEKTAR,2024
319,32,JAWA BARAT,3274,KOTA CIREBON,0,HEKTAR,2024
320,32,JAWA BARAT,3275,KOTA BEKASI,0,HEKTAR,2024
321,32,JAWA BARAT,3276,KOTA DEPOK,0,HEKTAR,2024
322,32,JAWA BARAT,3277,KOTA CIMAHI,1,HEKTAR,2024
323,32,JAWA BARAT,3278,KOTA TASIKMALAYA,6,HEKTAR,2024
324,32,JAWA BARAT,3279,KOTA BANJAR,55,HEKTAR,2024
