id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_tomat,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,4131,TON,2013
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,19677,TON,2013
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,93383,TON,2013
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,64103,TON,2013
5,32,JAWA BARAT,3205,KABUPATEN GARUT,125302,TON,2013
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,4518,TON,2013
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2437,TON,2013
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3032,TON,2013
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,6,TON,2013
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,5409,TON,2013
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,3282,TON,2013
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,430,TON,2013
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,6563,TON,2013
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,4274,TON,2013
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON,2013
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2013
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,15600,TON,2013
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2013
19,32,JAWA BARAT,3271,KOTA BOGOR,684,TON,2013
20,32,JAWA BARAT,3272,KOTA SUKABUMI,277,TON,2013
21,32,JAWA BARAT,3273,KOTA BANDUNG,27,TON,2013
22,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2013
23,32,JAWA BARAT,3275,KOTA BEKASI,1,TON,2013
24,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2013
25,32,JAWA BARAT,3277,KOTA CIMAHI,22,TON,2013
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,96,TON,2013
27,32,JAWA BARAT,3279,KOTA BANJAR,86,TON,2013
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,4749,TON,2014
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,27559,TON,2014
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,52252,TON,2014
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,50212,TON,2014
32,32,JAWA BARAT,3205,KABUPATEN GARUT,116467,TON,2014
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,6931,TON,2014
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2464,TON,2014
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3398,TON,2014
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,2,TON,2014
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3642,TON,2014
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,4651,TON,2014
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,352,TON,2014
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,13265,TON,2014
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3153,TON,2014
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1,TON,2014
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2014
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,14056,TON,2014
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,236,TON,2014
46,32,JAWA BARAT,3271,KOTA BOGOR,647,TON,2014
47,32,JAWA BARAT,3272,KOTA SUKABUMI,275,TON,2014
48,32,JAWA BARAT,3273,KOTA BANDUNG,3,TON,2014
49,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2014
50,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2014
51,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2014
52,32,JAWA BARAT,3277,KOTA CIMAHI,11,TON,2014
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,100,TON,2014
54,32,JAWA BARAT,3279,KOTA BANJAR,261,TON,2014
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,3828,TON,2015
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,23136,TON,2015
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,43663,TON,2015
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,63049,TON,2015
59,32,JAWA BARAT,3205,KABUPATEN GARUT,113226,TON,2015
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,7332,TON,2015
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1486,TON,2015
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,5992,TON,2015
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,TON,2015
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2983,TON,2015
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,3561,TON,2015
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,481,TON,2015
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,14132,TON,2015
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2753,TON,2015
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON,2015
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2015
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,9423,TON,2015
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,67,TON,2015
73,32,JAWA BARAT,3271,KOTA BOGOR,882,TON,2015
74,32,JAWA BARAT,3272,KOTA SUKABUMI,23,TON,2015
75,32,JAWA BARAT,3273,KOTA BANDUNG,4,TON,2015
76,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2015
77,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2015
78,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2015
79,32,JAWA BARAT,3277,KOTA CIMAHI,41,TON,2015
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,95,TON,2015
81,32,JAWA BARAT,3279,KOTA BANJAR,63,TON,2015
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,3672,TON,2016
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,19741,TON,2016
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,41235,TON,2016
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,49719,TON,2016
86,32,JAWA BARAT,3205,KABUPATEN GARUT,117051,TON,2016
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,5343,TON,2016
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1258,TON,2016
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2627,TON,2016
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,TON,2016
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3302,TON,2016
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,3347,TON,2016
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,301,TON,2016
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,18735,TON,2016
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1824,TON,2016
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON,2016
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2016
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,8577,TON,2016
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,8,TON,2016
100,32,JAWA BARAT,3271,KOTA BOGOR,1276,TON,2016
101,32,JAWA BARAT,3272,KOTA SUKABUMI,146,TON,2016
102,32,JAWA BARAT,3273,KOTA BANDUNG,3,TON,2016
103,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2016
104,32,JAWA BARAT,3275,KOTA BEKASI,6,TON,2016
105,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2016
106,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2016
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,100,TON,2016
108,32,JAWA BARAT,3279,KOTA BANJAR,124,TON,2016
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,4082,TON,2017
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,17182,TON,2017
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,31551,TON,2017
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,64327,TON,2017
113,32,JAWA BARAT,3205,KABUPATEN GARUT,138137,TON,2017
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3614,TON,2017
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,876,TON,2017
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2968,TON,2017
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,20,TON,2017
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2890,TON,2017
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2275,TON,2017
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,430,TON,2017
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,15248,TON,2017
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2227,TON,2017
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON,2017
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2017
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,8133,TON,2017
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,13,TON,2017
127,32,JAWA BARAT,3271,KOTA BOGOR,1116,TON,2017
128,32,JAWA BARAT,3272,KOTA SUKABUMI,78,TON,2017
129,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2017
130,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2017
131,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2017
132,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2017
133,32,JAWA BARAT,3277,KOTA CIMAHI,7,TON,2017
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON,2017
135,32,JAWA BARAT,3279,KOTA BANJAR,148,TON,2017
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,3743,TON,2018
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,19376,TON,2018
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,30573,TON,2018
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,61877,TON,2018
140,32,JAWA BARAT,3205,KABUPATEN GARUT,114426,TON,2018
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3254,TON,2018
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1394,TON,2018
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1466,TON,2018
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,TON,2018
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3913,TON,2018
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2145,TON,2018
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,471,TON,2018
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,13854,TON,2018
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2342,TON,2018
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2,TON,2018
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2018
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7975,TON,2018
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,13,TON,2018
154,32,JAWA BARAT,3271,KOTA BOGOR,1026,TON,2018
155,32,JAWA BARAT,3272,KOTA SUKABUMI,191,TON,2018
156,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2018
157,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2018
158,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2018
159,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2018
160,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2018
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,15,TON,2018
162,32,JAWA BARAT,3279,KOTA BANJAR,393,TON,2018
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,5835,TON,2019
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,16148,TON,2019
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,38022,TON,2019
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,73886,TON,2019
167,32,JAWA BARAT,3205,KABUPATEN GARUT,113172,TON,2019
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3176,TON,2019
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1896,TON,2019
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1355,TON,2019
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,TON,2019
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3281,TON,2019
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,3072,TON,2019
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,302,TON,2019
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,12143,TON,2019
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2343,TON,2019
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON,2019
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2019
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,9416,TON,2019
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,90,TON,2019
181,32,JAWA BARAT,3271,KOTA BOGOR,324,TON,2019
182,32,JAWA BARAT,3272,KOTA SUKABUMI,230,TON,2019
183,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2019
184,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2019
185,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2019
186,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2019
187,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2019
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,30,TON,2019
189,32,JAWA BARAT,3279,KOTA BANJAR,228,TON,2019
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,6083,TON,2020
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,14445,TON,2020
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,27800,TON,2020
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,109208,TON,2020
194,32,JAWA BARAT,3205,KABUPATEN GARUT,99699,TON,2020
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3952,TON,2020
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1291,TON,2020
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2694,TON,2020
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,TON,2020
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3548,TON,2020
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,3717,TON,2020
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,433,TON,2020
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,13063,TON,2020
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1973,TON,2020
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON,2020
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2020
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,10269,TON,2020
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,56,TON,2020
208,32,JAWA BARAT,3271,KOTA BOGOR,270,TON,2020
209,32,JAWA BARAT,3272,KOTA SUKABUMI,247,TON,2020
210,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2020
211,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2020
212,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2020
213,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2020
214,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2020
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,35,TON,2020
216,32,JAWA BARAT,3279,KOTA BANJAR,486,TON,2020
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,7500,TON,2021
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,16193,TON,2021
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,36297,TON,2021
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,100912,TON,2021
221,32,JAWA BARAT,3205,KABUPATEN GARUT,101771,TON,2021
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3482,TON,2021
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1430,TON,2021
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,980,TON,2021
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,TON,2021
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,4359,TON,2021
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2921,TON,2021
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,511,TON,2021
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,6771,TON,2021
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1478,TON,2021
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON,2021
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,22,TON,2021
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,6888,TON,2021
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,8,TON,2021
235,32,JAWA BARAT,3271,KOTA BOGOR,342,TON,2021
236,32,JAWA BARAT,3272,KOTA SUKABUMI,14,TON,2021
237,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2021
238,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2021
239,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2021
240,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2021
241,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2021
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,36,TON,2021
243,32,JAWA BARAT,3279,KOTA BANJAR,402,TON,2021
244,32,JAWA BARAT,3201,KABUPATEN BOGOR,9382,TON,2022
245,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,19620,TON,2022
246,32,JAWA BARAT,3203,KABUPATEN CIANJUR,38136,TON,2022
247,32,JAWA BARAT,3204,KABUPATEN BANDUNG,66159,TON,2022
248,32,JAWA BARAT,3205,KABUPATEN GARUT,115102,TON,2022
249,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2760,TON,2022
250,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1164,TON,2022
251,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,764,TON,2022
252,32,JAWA BARAT,3209,KABUPATEN CIREBON,43,TON,2022
253,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1485,TON,2022
254,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,4284,TON,2022
255,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,308,TON,2022
256,32,JAWA BARAT,3213,KABUPATEN SUBANG,2243,TON,2022
257,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1474,TON,2022
258,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON,2022
259,32,JAWA BARAT,3216,KABUPATEN BEKASI,135,TON,2022
260,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,8731,TON,2022
261,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,28,TON,2022
262,32,JAWA BARAT,3271,KOTA BOGOR,558,TON,2022
263,32,JAWA BARAT,3272,KOTA SUKABUMI,0,TON,2022
264,32,JAWA BARAT,3273,KOTA BANDUNG,68,TON,2022
265,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2022
266,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2022
267,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2022
268,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2022
269,32,JAWA BARAT,3278,KOTA TASIKMALAYA,21,TON,2022
270,32,JAWA BARAT,3279,KOTA BANJAR,500,TON,2022
271,32,JAWA BARAT,3201,KABUPATEN BOGOR,6434,TON,2023
272,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,20172,TON,2023
273,32,JAWA BARAT,3203,KABUPATEN CIANJUR,38044,TON,2023
274,32,JAWA BARAT,3204,KABUPATEN BANDUNG,67220,TON,2023
275,32,JAWA BARAT,3205,KABUPATEN GARUT,104840,TON,2023
276,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2450,TON,2023
277,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1286,TON,2023
278,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,792,TON,2023
279,32,JAWA BARAT,3209,KABUPATEN CIREBON,10,TON,2023
280,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3501,TON,2023
281,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,4835,TON,2023
282,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,583,TON,2023
283,32,JAWA BARAT,3213,KABUPATEN SUBANG,1525,TON,2023
284,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1231,TON,2023
285,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3,TON,2023
286,32,JAWA BARAT,3216,KABUPATEN BEKASI,128,TON,2023
287,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,13898,TON,2023
288,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,63,TON,2023
289,32,JAWA BARAT,3271,KOTA BOGOR,520,TON,2023
290,32,JAWA BARAT,3272,KOTA SUKABUMI,7,TON,2023
291,32,JAWA BARAT,3273,KOTA BANDUNG,13,TON,2023
292,32,JAWA BARAT,3274,KOTA CIREBON,6,TON,2023
293,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2023
294,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2023
295,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2023
296,32,JAWA BARAT,3278,KOTA TASIKMALAYA,67,TON,2023
297,32,JAWA BARAT,3279,KOTA BANJAR,447,TON,2023
298,32,JAWA BARAT,3201,KABUPATEN BOGOR,4835,TON,2024
299,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,14684,TON,2024
300,32,JAWA BARAT,3203,KABUPATEN CIANJUR,36531,TON,2024
301,32,JAWA BARAT,3204,KABUPATEN BANDUNG,89938,TON,2024
302,32,JAWA BARAT,3205,KABUPATEN GARUT,91039,TON,2024
303,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2559,TON,2024
304,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1105,TON,2024
305,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,423,TON,2024
306,32,JAWA BARAT,3209,KABUPATEN CIREBON,1,TON,2024
307,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,6594,TON,2024
308,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,6203,TON,2024
309,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,957,TON,2024
310,32,JAWA BARAT,3213,KABUPATEN SUBANG,1570,TON,2024
311,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1461,TON,2024
312,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON,2024
313,32,JAWA BARAT,3216,KABUPATEN BEKASI,106,TON,2024
314,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,5864,TON,2024
315,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,147,TON,2024
316,32,JAWA BARAT,3271,KOTA BOGOR,103,TON,2024
317,32,JAWA BARAT,3272,KOTA SUKABUMI,13,TON,2024
318,32,JAWA BARAT,3273,KOTA BANDUNG,54,TON,2024
319,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2024
320,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2024
321,32,JAWA BARAT,3276,KOTA DEPOK,4,TON,2024
322,32,JAWA BARAT,3277,KOTA CIMAHI,13,TON,2024
323,32,JAWA BARAT,3278,KOTA TASIKMALAYA,88,TON,2024
324,32,JAWA BARAT,3279,KOTA BANJAR,419,TON,2024
